Loading features ...
Training SVM
percentage = 10.00%
	accuracy = 15.909%
	accuracy = 15.909%
	accuracy = 12.121%
	accuracy = 21.212%
	accuracy = 18.182%
	accuracy = 15.909%
	accuracy = 12.879%
	accuracy = 16.667%
	accuracy = 21.970%
	accuracy = 18.182%
>>> average accuracy = 16.894%
percentage = 20.00%
	accuracy = 18.182%
	accuracy = 23.485%
	accuracy = 21.970%
	accuracy = 24.242%
	accuracy = 20.455%
	accuracy = 24.242%
	accuracy = 20.455%
	accuracy = 26.515%
	accuracy = 28.788%
	accuracy = 17.424%
>>> average accuracy = 22.576%
percentage = 30.00%
	accuracy = 33.333%
	accuracy = 26.515%
	accuracy = 28.788%
	accuracy = 31.061%
	accuracy = 31.818%
	accuracy = 37.879%
	accuracy = 29.545%
	accuracy = 30.303%
	accuracy = 30.303%
	accuracy = 31.818%
>>> average accuracy = 31.136%
percentage = 40.00%
	accuracy = 42.424%
	accuracy = 41.667%
	accuracy = 51.515%
	accuracy = 44.697%
	accuracy = 39.394%
	accuracy = 48.485%
	accuracy = 42.424%
	accuracy = 43.182%
	accuracy = 45.455%
	accuracy = 34.848%
>>> average accuracy = 43.409%
percentage = 50.00%
	accuracy = 48.485%
	accuracy = 56.061%
	accuracy = 44.697%
	accuracy = 52.273%
	accuracy = 47.727%
	accuracy = 52.273%
	accuracy = 48.485%
	accuracy = 53.030%
	accuracy = 59.091%
	accuracy = 47.727%
>>> average accuracy = 50.985%
percentage = 60.00%
	accuracy = 50.000%
	accuracy = 50.758%
	accuracy = 43.182%
	accuracy = 53.030%
	accuracy = 43.939%
	accuracy = 42.424%
	accuracy = 43.939%
	accuracy = 46.212%
	accuracy = 51.515%
	accuracy = 42.424%
>>> average accuracy = 46.742%
percentage = 70.00%
	accuracy = 43.182%
	accuracy = 46.970%
	accuracy = 45.455%
	accuracy = 49.242%
	accuracy = 48.485%
	accuracy = 56.061%
	accuracy = 51.515%
	accuracy = 50.000%
	accuracy = 50.758%
	accuracy = 59.848%
>>> average accuracy = 50.152%
percentage = 80.00%
	accuracy = 48.485%
	accuracy = 50.758%
	accuracy = 52.273%
	accuracy = 54.545%
	accuracy = 53.030%
	accuracy = 45.455%
	accuracy = 49.242%
	accuracy = 45.455%
	accuracy = 50.758%
	accuracy = 47.727%
>>> average accuracy = 49.773%
percentage = 90.00%
	accuracy = 50.000%
	accuracy = 43.182%
	accuracy = 47.727%
	accuracy = 53.030%
	accuracy = 50.000%
	accuracy = 54.545%
	accuracy = 50.000%
	accuracy = 53.788%
	accuracy = 54.545%
	accuracy = 43.939%
>>> average accuracy = 50.076%
percentage = 100.00%
	accuracy = 49.242%
	accuracy = 50.000%
	accuracy = 44.697%
	accuracy = 44.697%
	accuracy = 54.545%
	accuracy = 47.727%
	accuracy = 55.303%
	accuracy = 50.758%
	accuracy = 53.030%
	accuracy = 50.000%
>>> average accuracy = 50.000%
